"label","phenotype","sd.diff.zeropeak","sd.diff.rotpeak","sd.diff.declinepeak","mu.diff.rotpeak","mu.diff.declinepeak","mu.diff.zeropeak","diff.orig.rotpeak","diff.orig.declinepeak","diff.orig.zeropeak"
"lh_caudalmiddlefrontal","GM",0.184043273032999,0.0146083761183761,2.61622314532786,-0.0201417197041925,8.64167738202175,0.45495609347078,-0.0197851611479649,8.96425707183608,0.469769027080069
"lh_cuneus","GM",0.234390924041463,0.0197082303029377,2.99178862344561,-0.0587384806279355,36.0977264209248,2.02721334508333,-0.0576405037097876,36.3994381330867,2.07265572242494
"lh_entonal","GM",0.979400832579627,0.361290624033803,0,-0.0162009312402688,0,-5.51514431868026,0.0762755104085477,0,-5.47111381389266
"lh_frontalpole","GM",0.1762766312271,0.110277789160906,0.785269682775161,-0.235770973353195,7.37578635258988,1.22107822501359,-0.198603539301631,7.43174352344096,1.25296037756338
"lh_fusiform","GM",0.299842072430609,0,0,0,0,1.18695848528584,0,0,1.15129863935674
"lh_inferiorparietal","GM",0.102115007241895,0.0165774234883445,1.22427365653736,-0.0236801281512692,-2.13764042744315,-0.207366540686968,-0.0236880276677515,-2.50409191111592,-0.243545955453619
"lh_inferiortemporal","GM",0.1472934395953,0.046405990002313,0.978609007401889,0.431774619356664,-0.663898065582007,-0.534611001583449,0.418346164385144,0,-0.536511374845313
"lh_insula","GM",0.202205201283835,0.0264888644918811,5.04735335196178,0.334869869480509,-40.8199474718127,0.153470509288844,0.335256306346768,-40.8055833259756,0.153751480598766
"lh_isthmuscingulate","GM",0.240875382170205,0.0247939133434464,2.39923994515182,-0.0680271838658785,-7.65249777391036,-1.12087344289033,-0.0729076574489478,-7.36428495233906,-1.10670106732961
"lh_lateraloccipital","GM",0.151720187621676,0.0142644310585173,4.86800957511839,-0.039883392351574,28.4456068961663,1.48081129073242,-0.0391440591207122,27.9370920371107,1.46127703817342
"lh_lateralorbitofrontal","GM",0.06081158117477,0.0088089603375992,0.637872368558701,0.0486286683747089,-2.53540185740069,-0.071710325332174,0.0484166340750822,-2.55554188595431,-0.0856866154072087
"lh_lingual","GM",0.139157026238311,0.0181348526816676,1.56401907007994,-0.0163334907541427,-13.1029343139373,-1.04160819232994,-0.0162919881766548,-12.9408889665828,-1.03056875570256
"lh_medialorbitofrontal","GM",0.321960874263791,0.129978685743266,9.56303273266765,-0.0493180469863452,23.7842897141295,1.33605262685407,-0.0341947111667745,22.9163874103686,1.27921338985501
"lh_middletemporal","GM",0.145335729473892,0.0358646689385854,5.12994100097145,0.115920078227668,-23.5602548888056,-0.775181955100771,0.109370363860276,-24.0617539867446,-0.822391373809607
"lh_paracentral","GM",0.153191875455366,0.0130217806462257,2.33030277245539,-0.0406371814442255,6.60140370182989,0.22973854628395,-0.0389605064282348,6.40655544828294,0.215754504866085
"lh_parahippocampal","GM",0.434317065337332,0.692608494630621,0,-0.201590828602537,0,3.33086948405364,-0.660585911726929,0,3.32874961318523
"lh_parsopercularis","GM",0.163815543658364,0.0163464235578495,2.58702473300761,0.0922861378353902,-1.93269900810252,-0.0674912875721245,0.0907090754671285,-1.87200055709303,-0.091412007501896
"lh_parsorbitalis","GM",0.223694655405248,0.0199675273758626,1.89345814404956,0.814303771915282,-61.4650353453752,-1.73594776863181,0.817797353603278,-61.3959737074949,-1.7004213742664
"lh_parstriangularis","GM",0.138497107072697,0.0156954960511967,2.2444946885904,0.00548490450965942,7.54737117011007,0.259733951190921,0.00530131545432388,7.55892671909759,0.270243074513834
"lh_pericalcarine","GM",0.626235725078772,0.0227257399152147,8.13863900642196,0.120115468330883,-48.268536015056,-6.13610170140957,0.119249895817418,-48.3743114094842,-5.96228164668035
"lh_postcentral","GM",0.12151662464394,0.0129086422534714,1.49711796204752,0.0108885519664662,-1.88265828543899,-0.142596807657502,0.0114118387073569,-1.8268247338011,-0.133889214078573
"lh_posteriorcingulate","GM",0.206054867852907,0.022160502038359,5.12244279884622,-0.0470735555548511,-15.6222866459583,0.564516837893925,-0.0453837966903177,-16.8269299691443,0.535813866521256
"lh_precentral","GM",0.167261165953249,0.0213262646492022,0.107055887626121,0.0140867201441065,-0.00756057313205163,-0.533033939839893,0.0188633564028648,0,-0.481884099799048
