"","label","phenotype","signed","absolute","log.signed","log.absolute"
"57","lh_parstriangularis","CT",-66.9024225559538,71.6429503826773,-0.0157049613133693,0.0163378721205326
"58","lh_pericalcarine","CT",-346.144050961154,380.13171656892,-0.00430388490423724,0.0232183288710935
"59","lh_postcentral","CT",166.712497616263,166.712497616263,0.029648518213297,0.029648518213297
"60","lh_posteriorcingulate","CT",139.423066547317,139.423066547317,0.098350104459643,0.098350104459643
"61","lh_precentral","CT",281.460259259719,281.460259259719,0.0439253002261698,0.0439253002261698
"62","lh_precuneus","CT",-130.505734564189,130.505734564189,-0.018732697356559,0.018732697356559
"63","lh_rostralanteriorcingulate","CT",-764.129104060292,804.617122106422,0.0143117515384377,0.101294614548289
"64","lh_rostralmiddlefrontal","CT",88.6878815490431,231.369058332368,0.0440401149751369,0.0484102697816259
"65","lh_superiorfrontal","CT",97.9760670848963,150.242175471208,0.0302126655622366,0.0317964376902105
"66","lh_superiorparietal","CT",72.9606880921786,105.009047609282,-0.0291320636924399,0.0357348511554248
"67","lh_superiortemporal","CT",-435.964354335816,444.609246204223,-0.0348835948786657,0.0664559353519998
"68","lh_supramarginal","CT",-165.931703217521,190.016753314312,0.0157368559171773,0.0470027657461614
"69","lh_temporalpole","CT",-844.645066612108,844.645066612108,-0.108934102012233,0.108934102012233
"70","lh_transversetemporal","CT",-261.711731310097,273.828805064414,-0.0567248384553242,0.0584982865219011
"71","lh_bankssts","SA",3179.75117642586,3179.75117642586,0.470999410830021,0.470999410830021
"72","lh_caudalanteriorcingulate","SA",-4000.38888705313,4000.38888705313,-0.674959260355112,0.674959260355112
"73","lh_caudalmiddlefrontal","SA",1771.97523118758,1771.97523118758,0.2507653951276,0.2507653951276
"74","lh_cuneus","SA",-1827.45936391846,1827.45936391846,-0.256414117507736,0.256414117507736
"75","lh_entorhinal","SA",2962.77646921551,2962.77646921551,0.375223254360524,0.375223254360524
"76","lh_frontalpole","SA",-6259.06120970815,6259.06120970815,-0.943770705414422,0.943770705414422
"77","lh_fusiform","SA",613.568287931467,613.632795104879,0.131064821009492,0.131368365262501
"78","lh_HEMI","SA",-63.757317443815,69.7961242108028,-0.00305630015376675,0.005734240351886
"79","lh_inferiorparietal","SA",-5323.50998901099,5323.50998901099,-0.733075442417237,0.733075442417237
"80","lh_inferiortemporal","SA",1003.21101548097,1003.21101548097,0.144503452624842,0.144503452624842
"81","lh_insula","SA",419.842731115045,430.866827996665,0.038826063299962,0.0767321046811606
"82","lh_isthmuscingulate","SA",3030.14710751503,3030.14710751503,0.35213725990705,0.35213725990705
"83","lh_lateraloccipital","SA",-81.064037620696,99.2655866313601,0.0078408342626984,0.0328698747893012
"84","lh_lateralorbitofrontal","SA",373.624505128523,409.016850136267,-0.0139741201680329,0.0807282547384329
"85","lh_lingual","SA",-1437.19509779928,1437.19509779928,-0.164413399998622,0.164413399998622
"86","lh_medialorbitofrontal","SA",-688.431381141391,688.431381141391,-0.141852176014014,0.141852176014014
"87","lh_middletemporal","SA",-2561.25708831861,2561.25708831861,-0.405175763411575,0.405175763411575
"88","lh_paracentral","SA",-3432.3035377734,3432.3035377734,-0.463074873208998,0.463074873208998
"89","lh_parahippocampal","SA",1096.89273440004,1105.03776806411,0.137757101220178,0.170449369443324
"90","lh_parsopercularis","SA",4584.07299395728,4584.07299395728,0.646190198250872,0.646190198250872
"91","lh_parsorbitalis","SA",-5172.09697497225,5172.09697497225,-0.709602269833899,0.709602269833899
"92","lh_parstriangularis","SA",-4162.73877072609,4163.2084588728,-0.509168215188044,0.511335949383483
"93","lh_pericalcarine","SA",-3058.71411328917,3058.71411328917,-0.404890463754316,0.404890463754316
"94","lh_postcentral","SA",1059.45698229309,1059.45698229309,0.19556164424846,0.19556164424846
"95","lh_posteriorcingulate","SA",-342.793735526847,376.115739623252,0.00455722732234747,0.0855911795513641
"96","lh_precentral","SA",123.989676203607,123.989676203607,0.0264276086697855,0.0264276086697855
"97","lh_precuneus","SA",-1316.70272715132,1318.13634973124,-0.154753358687725,0.161014547727789
